&b / °,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s
"23,6",21,,,,34
"23,7",10,,,,36
"23,8",13,,,,39
"23,9",13,,,,40
24,16,,,,32
"24,1",20,,,,42
"24,2",12,,,,46
"24,3",11,,,,31
"24,4",16,,,,49
"24,5",15,,,,31
"24,6",18,,,,42
"24,7",15,,,,33
"24,8",14,,,,45
"24,9",7,,,,42
25,10,,,,39
