Channel,Wecker,,,,,,,peaks
621,394,,,,,,,
622,393,,,,,,,
623,379,,,,,,,
624,331,,,,,,,
625,351,,,,,,,
626,323,,,,,,,
627,353,,,,,,,
628,359,,,,,,,
629,297,,,,,,,
630,279,,,,,,,
631,304,,,,,,,
632,269,,,,,,,
633,270,,,,,,,
634,255,,,,,,,
635,300,,,,,,,
636,273,,,,,,,
637,255,,,,,,,
638,245,,,,,,,
639,255,,,,,,,
640,256,,,,,,,
641,243,,,,,,,
642,205,,,,,,,
643,203,,,,,,,
644,211,,,,,,,
645,233,,,,,,,
646,194,,,,,,,
647,182,,,,,,,
648,183,,,,,,,
649,182,,,,,,,
650,175,,,,,,,
651,155,,,,,,,
652,142,,,,,,,
653,147,,,,,,,
654,151,,,,,,,
655,141,,,,,,,
656,135,,,,,,,
657,133,,,,,,,
658,106,,,,,,,
659,100,,,,,,,
660,127,,,,,,,
661,108,,,,,,,
662,99,,,,,,,
663,103,,,,,,,
664,97,,,,,,,
665,102,,,,,,,
666,101,,,,,,,
667,100,,,,,,,
668,88,,,,,,,
669,106,,,,,,,
670,80,,,,,,,
671,88,,,,,,,
672,104,,,,,,,
673,91,,,,,,,
674,88,,,,,,,
675,88,,,,,,,
676,89,,,,,,,
677,67,,,,,,,
678,83,,,,,,,
679,97,,,,,,,
680,88,,,,,,,
681,74,,,,,,,
682,94,,,,,,,
683,77,,,,,,,
684,82,,,,,,,
685,97,,,,,,,
686,82,,,,,,,
687,81,,,,,,,
688,84,,,,,,,
689,69,,,,,,,
690,87,,,,,,,
691,79,,,,,,,
692,72,,,,,,,
693,70,,,,,,,
694,83,,,,,,,
695,75,,,,,,,
696,104,,,,,,,
697,75,,,,,,,
698,95,,,,,,,
699,95,,,,,,,
700,116,,,,,,,
701,92,,,,,,,
702,83,,,,,,,
703,87,,,,,,,
704,118,,,,,,,
705,85,,,,,,,
706,92,,,,,,,
707,104,,,,,,,
708,108,,,,,,,
709,103,,,,,,,
710,99,,,,,,,
711,114,,,,,,,
712,99,,,,,,,
713,122,,,,,,,
714,118,,,,,,,
715,115,,,,,,,
716,120,,,,,,,
717,136,,,,,,,
718,123,,,,,,,
719,101,,,,,,,
720,137,,,,,,,
721,151,,,,,,,
722,111,,,,,,,
723,149,,,,,,,
724,148,,,,,,,
725,136,,,,,,,
726,162,,,,,,,
727,169,,,,,,,
728,174,,,,,,,
729,191,,,,,,,
730,172,,,,,,,
731,174,,,,,,,
732,163,,,,,,,
733,203,,,,,,,
734,218,,,,,,,
735,201,,,,,,,
736,197,,,,,,,
737,228,,,,,,,
738,232,,,,,,,
739,237,,,,,,,
740,247,,,,,,,
741,234,,,,,,,
742,209,,,,,,,
743,221,,,,,,,
744,217,,,,,,,
745,234,,,,,,,
746,244,,,,,,,
747,220,,,,,,,
748,233,,,,,,,
749,211,,,,,,,
750,189,,,,,,,
751,203,,,,,,,
752,184,,,,,,,
753,178,,,,,,,
754,146,,,,,,,
755,164,,,,,,,
756,137,,,,,,,
757,126,,,,,,,
758,123,,,,,,,
759,98,,,,,,,
760,106,,,,,,,
761,104,,,,,,,
762,110,,,,,,,
763,95,,,,,,,
764,75,,,,,,,
765,77,,,,,,,
766,57,,,,,,,
767,74,,,,,,,
768,56,,,,,,,
769,57,,,,,,,
770,36,,,,,,,
771,44,,,,,,,
772,48,,,,,,,
773,50,,,,,,,
774,43,,,,,,,
775,31,,,,,,,
776,27,,,,,,,
777,25,,,,,,,
778,44,,,,,,,
779,22,,,,,,,
780,27,,,,,,,
781,21,,,,,,,
782,26,,,,,,,
783,25,,,,,,,
784,24,,,,,,,
785,20,,,,,,,
786,23,,,,,,,
787,14,,,,,,,
788,21,,,,,,,
