Channel,Blei,Channel,Ohne Blei,,,,,Blei,ohne
573,2,573,11,,,,,,
574,4,574,8,,,,,,
575,4,575,9,,,,,,
576,3,576,16,,,,,,
577,6,577,12,,,,,,
578,3,578,4,,,,,,
579,4,579,7,,,,,,
580,1,580,6,,,,,,
581,2,581,11,,,,,,
582,3,582,7,,,,,,
583,2,583,5,,,,,,
584,0,584,9,,,,,,
585,2,585,7,,,,,,
586,8,586,4,,,,,,
587,5,587,12,,,,,,
588,3,588,9,,,,,,
589,1,589,9,,,,,,
590,3,590,10,,,,,,
591,5,591,3,,,,,,
592,3,592,10,,,,,,
593,7,593,7,,,,,,
594,2,594,15,,,,,,
595,8,595,12,,,,,,
596,3,596,10,,,,,,
597,5,597,8,,,,,,
598,9,598,7,,,,,,
599,7,599,12,,,,,,
600,15,600,16,,,,,,
601,6,601,18,,,,,,
602,5,602,8,,,,,,
603,6,603,7,,,,,,
604,5,604,11,,,,,,
605,7,605,14,,,,,,
606,5,606,13,,,,,,
607,5,607,13,,,,,,
608,5,608,6,,,,,,
609,5,609,13,,,,,,
610,9,610,9,,,,,,
611,5,611,12,,,,,,
612,6,612,15,,,,,,
613,4,613,14,,,,,,
614,8,614,11,,,,,,
615,6,615,7,,,,,,
616,10,616,7,,,,,,
617,7,617,6,,,,,,
618,4,618,13,,,,,,
619,10,619,11,,,,,,
620,0,620,9,,,,,,
621,2,621,7,,,,,,
622,5,622,8,,,,,,
623,7,623,7,,,,,,
624,2,624,4,,,,,,
625,2,625,7,,,,,,
626,3,626,8,,,,,,
627,4,627,5,,,,,,
628,2,628,8,,,,,,
629,2,629,2,,,,,,
630,6,630,2,,,,,,
631,2,631,5,,,,,,
632,1,632,3,,,,,,
633,6,633,6,,,,,,
634,1,634,6,,,,,,
635,1,635,3,,,,,,
636,0,636,7,,,,,,
637,2,637,3,,,,,,
638,3,638,3,,,,,,
639,1,639,4,,,,,,
640,2,640,6,,,,,,
641,3,641,10,,,,,,
642,2,642,3,,,,,,
643,2,643,3,,,,,,
644,1,644,1,,,,,,
645,0,645,2,,,,,,
646,0,646,3,,,,,,
647,3,647,3,,,,,,
648,2,648,6,,,,,,
649,0,649,3,,,,,,
650,3,650,5,,,,,,
651,1,651,5,,,,,,
652,0,652,3,,,,,,
653,0,653,3,,,,,,
654,0,654,6,,,,,,
655,0,655,1,,,,,,
656,6,656,5,,,,,,
657,1,657,3,,,,,,
658,0,658,3,,,,,,
659,1,659,3,,,,,,
660,2,660,6,,,,,,
661,1,661,3,,,,,,
662,0,662,0,,,,,,
663,0,663,2,,,,,,
664,2,664,1,,,,,,
665,2,665,4,,,,,,
666,4,666,3,,,,,,
667,1,667,4,,,,,,
668,4,668,5,,,,,,
669,0,669,3,,,,,,
670,1,670,6,,,,,,
671,1,671,6,,,,,,
672,3,672,3,,,,,,
673,1,673,2,,,,,,
674,0,674,1,,,,,,
675,1,675,3,,,,,,
676,1,676,1,,,,,,
677,3,677,1,,,,,,
678,2,678,2,,,,,,
679,0,679,2,,,,,,
680,0,680,3,,,,,,
681,2,681,0,,,,,,
682,2,682,2,,,,,,
683,2,683,4,,,,,,
684,1,684,4,,,,,,
685,2,685,4,,,,,,
686,3,686,4,,,,,,
687,3,687,1,,,,,,
688,0,688,3,,,,,,
689,0,689,2,,,,,,
690,3,690,4,,,,,,
691,1,691,1,,,,,,
692,0,692,3,,,,,,
693,0,693,2,,,,,,
694,2,694,2,,,,,,
695,1,695,4,,,,,,
696,2,696,5,,,,,,
697,1,697,5,,,,,,
698,3,698,2,,,,,,
699,0,699,3,,,,,,
700,2,700,2,,,,,,
701,1,701,3,,,,,,
702,4,702,3,,,,,,
703,1,703,1,,,,,,
704,4,704,2,,,,,,
705,5,705,4,,,,,,
706,0,706,4,,,,,,
707,4,707,3,,,,,,
708,5,708,4,,,,,,
709,3,709,2,,,,,,
710,1,710,6,,,,,,
711,4,711,7,,,,,,
712,3,712,8,,,,,,
713,3,713,5,,,,,,
714,1,714,2,,,,,,
715,0,715,2,,,,,,
716,0,716,3,,,,,,
717,2,717,4,,,,,,
718,2,718,3,,,,,,
719,2,719,6,,,,,,
720,1,720,4,,,,,,
721,1,721,5,,,,,,
722,2,722,4,,,,,,
723,4,723,3,,,,,,
724,1,724,3,,,,,,
725,0,725,3,,,,,,
726,3,726,9,,,,,,
727,0,727,4,,,,,,
728,4,728,3,,,,,,
729,3,729,1,,,,,,
730,3,730,2,,,,,,
731,0,731,5,,,,,,
732,2,732,4,,,,,,
733,2,733,5,,,,,,
734,4,734,0,,,,,,
735,2,735,3,,,,,,
736,1,736,2,,,,,,
737,4,737,6,,,,,,
738,1,738,2,,,,,,
739,3,739,5,,,,,,
740,2,740,4,,,,,,
741,2,741,3,,,,,,
742,2,742,4,,,,,,
743,1,743,6,,,,,,
744,4,744,3,,,,,,
745,1,745,5,,,,,,
746,3,746,5,,,,,,
747,3,747,3,,,,,,
748,1,748,3,,,,,,
749,2,749,2,,,,,,
750,3,750,5,,,,,,
751,2,751,7,,,,,,
752,3,752,3,,,,,,
753,1,753,8,,,,,,
754,3,754,5,,,,,,
755,3,755,5,,,,,,
756,2,756,4,,,,,,
757,1,757,6,,,,,,
758,1,758,3,,,,,,
759,3,759,4,,,,,,
760,0,760,1,,,,,,
761,1,761,2,,,,,,
762,4,762,2,,,,,,
763,0,763,4,,,,,,
764,1,764,1,,,,,,
765,2,765,4,,,,,,
766,0,766,4,,,,,,
767,0,767,5,,,,,,
768,1,768,2,,,,,,
769,1,769,6,,,,,,
770,0,770,2,,,,,,
771,1,771,1,,,,,,
772,1,772,3,,,,,,
773,1,773,3,,,,,,
774,0,774,4,,,,,,
775,1,775,2,,,,,,
776,0,776,4,,,,,,
777,2,777,1,,,,,,
778,0,778,4,,,,,,
779,0,779,3,,,,,,
780,3,780,3,,,,,,
781,1,781,1,,,,,,
782,2,782,4,,,,,,
783,1,783,2,,,,,,
784,0,784,3,,,,,,
785,0,785,2,,,,,,
786,2,786,1,,,,,,
787,1,787,1,,,,,,
788,1,788,1,,,,,,
789,1,789,2,,,,,,
790,0,790,1,,,,,,
791,2,791,5,,,,,,
792,1,792,0,,,,,,
793,1,793,3,,,,,,
794,0,794,4,,,,,,
795,0,795,1,,,,,,
796,2,796,3,,,,,,
797,1,797,3,,,,,,
798,1,798,1,,,,,,
799,1,799,2,,,,,,
800,2,800,1,,,,,,
801,2,801,1,,,,,,
802,1,802,1,,,,,,
803,3,803,1,,,,,,
804,0,804,1,,,,,,
805,1,805,0,,,,,,
806,1,806,2,,,,,,
807,0,807,3,,,,,,
808,1,808,0,,,,,,
809,0,809,3,,,,,,
810,0,810,0,,,,,,
811,0,811,1,,,,,,
812,0,812,0,,,,,,
813,2,813,1,,,,,,
814,1,814,1,,,,,,
815,1,815,0,,,,,,
816,0,816,0,,,,,,
817,0,817,1,,,,,,
818,1,818,0,,,,,,
819,2,819,2,,,,,,
820,1,820,2,,,,,,
821,0,821,2,,,,,,
822,1,822,1,,,,,,
823,1,823,1,,,,,,
824,2,824,2,,,,,,
825,0,825,1,,,,,,
826,2,826,0,,,,,,
827,2,827,4,,,,,,
828,1,828,1,,,,,,
829,0,829,1,,,,,,
830,2,830,1,,,,,,
831,0,831,2,,,,,,
832,2,832,1,,,,,,
833,0,833,0,,,,,,
834,0,834,3,,,,,,
835,0,835,3,,,,,,
836,1,836,2,,,,,,
837,0,837,0,,,,,,
838,0,838,1,,,,,,
839,0,839,1,,,,,,
840,1,840,2,,,,,,
841,0,841,2,,,,,,
842,1,842,1,,,,,,
843,1,843,1,,,,,,
844,0,844,1,,,,,,
845,0,845,0,,,,,,
846,0,846,0,,,,,,
847,0,847,1,,,,,,
848,1,848,1,,,,,,
849,0,849,0,,,,,,
850,0,850,0,,,,,,
851,1,851,2,,,,,,
852,1,852,6,,,,,,
853,2,853,4,,,,,,
854,0,854,1,,,,,,
855,1,855,0,,,,,,
856,1,856,1,,,,,,
857,0,857,3,,,,,,
858,0,858,0,,,,,,
859,0,859,2,,,,,,
860,0,860,1,,,,,,
861,1,861,2,,,,,,
862,2,862,1,,,,,,
863,2,863,2,,,,,,
864,0,864,5,,,,,,
865,0,865,1,,,,,,
866,2,866,5,,,,,,
867,1,867,3,,,,,,
868,2,868,3,,,,,,
869,3,869,3,,,,,,
870,0,870,5,,,,,,
871,0,871,7,,,,,,
872,3,872,4,,,,,,
873,3,873,4,,,,,,
874,0,874,7,,,,,,
875,2,875,5,,,,,,
876,0,876,2,,,,,,
877,1,877,5,,,,,,
878,4,878,2,,,,,,
879,1,879,6,,,,,,
880,2,880,4,,,,,,
881,3,881,6,,,,,,
882,4,882,6,,,,,,
883,0,883,4,,,,,,
884,2,884,6,,,,,,
885,0,885,4,,,,,,
886,2,886,8,,,,,,
887,3,887,5,,,,,,
888,2,888,7,,,,,,
889,0,889,6,,,,,,
890,3,890,5,,,,,,
891,0,891,3,,,,,,
892,3,892,4,,,,,,
893,2,893,4,,,,,,
894,2,894,3,,,,,,
895,2,895,5,,,,,,
896,2,896,6,,,,,,
897,0,897,4,,,,,,
898,3,898,3,,,,,,
899,0,899,1,,,,,,
900,4,900,4,,,,,,
901,1,901,3,,,,,,
902,2,902,2,,,,,,
903,2,903,5,,,,,,
904,1,904,3,,,,,,
905,1,905,3,,,,,,
906,1,906,3,,,,,,
907,0,907,2,,,,,,
908,4,908,2,,,,,,
909,1,909,2,,,,,,
910,1,910,0,,,,,,
911,3,911,0,,,,,,
912,0,912,1,,,,,,
913,0,913,1,,,,,,
914,1,914,0,,,,,,
915,0,915,3,,,,,,
916,0,916,0,,,,,,
917,0,917,1,,,,,,
918,0,918,0,,,,,,
919,0,919,0,,,,,,
920,0,920,0,,,,,,
921,0,921,1,,,,,,
922,1,922,0,,,,,,
923,0,923,1,,,,,,
924,0,924,0,,,,,,
925,0,925,0,,,,,,
926,0,926,1,,,,,,
927,0,927,0,,,,,,
928,0,928,1,,,,,,
929,1,929,0,,,,,,
930,0,930,0,,,,,,
931,0,931,1,,,,,,
932,0,932,0,,,,,,
933,1,933,0,,,,,,
934,0,934,0,,,,,,
935,0,935,0,,,,,,
936,0,936,0,,,,,,
937,0,937,0,,,,,,
938,0,938,0,,,,,,
939,0,939,0,,,,,,
940,1,940,0,,,,,,
941,0,941,0,,,,,,
942,0,942,0,,,,,,
943,0,943,0,,,,,,
944,0,944,0,,,,,,
945,0,945,0,,,,,,
946,2,946,0,,,,,,
947,0,947,0,,,,,,
948,0,948,3,,,,,,
949,0,949,1,,,,,,
950,0,950,0,,,,,,
951,1,951,1,,,,,,
952,0,952,1,,,,,,
953,0,953,0,,,,,,
954,0,954,0,,,,,,
955,0,955,0,,,,,,
956,1,956,0,,,,,,
957,0,957,1,,,,,,
958,1,958,0,,,,,,
959,0,959,0,,,,,,
960,0,960,0,,,,,,
961,0,961,1,,,,,,
962,0,962,0,,,,,,
963,0,963,0,,,,,,
964,0,964,0,,,,,,
965,1,965,0,,,,,,
966,0,966,1,,,,,,
967,0,967,0,,,,,,
968,0,968,1,,,,,,
969,1,969,0,,,,,,
970,1,970,0,,,,,,
971,0,971,0,,,,,,
972,1,972,0,,,,,,
973,0,973,0,,,,,,
974,0,974,0,,,,,,
975,1,975,0,,,,,,
976,0,976,0,,,,,,
977,0,977,0,,,,,,
978,0,978,1,,,,,,
979,2,979,0,,,,,,
980,1,980,1,,,,,,
981,1,981,0,,,,,,
982,1,982,1,,,,,,
983,0,983,1,,,,,,
984,0,984,1,,,,,,
985,1,985,2,,,,,,
986,0,986,0,,,,,,
987,0,987,0,,,,,,
988,0,988,0,,,,,,
